abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
redress;n. 赔偿,救济,矫正vt. 纠正,赔偿,重新调整,重新穿衣,救济;[ri'dres]
reduce;vt. 减少,分解,降低,把...归纳,把...分解vi. 减少,变瘦,归纳为v. 缩小;[ri'dju:s]
redundant;a. 多余的,过多的,冗长的;[ri'd8nd4nt]
refer;vt. 提交,谈及,使求助于,指点把...提交,归诸于vi. 提到,涉及,咨询,查询,查阅;[ri'f4:]
refined;a. 精炼的,优雅的,精细的;[ri'faind]
reflection;n. 反映,沉思,映像,责难,想法,思考;[ri'flek54n]
reform;n. 改革,改正,感化vt. 改革,改过,重新组成,改善,革新vi. 革新,改过,重组;[ri'f3:m]
refresh;vt. 使清新,使恢复,使生气蓬勃vi. 提起精神,恢复精神,吃点心,喝饮料v. 刷新,重新整理;[ri'fre5]
refuge;n. 避难所,安全地带,避难,庇护vi. 躲避vt. 庇护;['refju:d9]
refund;n. 偿还vt. 付还,偿还借款,换回新公债vi. 归还,偿还;[ri:'f8nd]
refute;vt. 驳倒,反驳;[ri'fju:t]
regimen;n. 摄生,养生法,食物疗法;['rAd94'mAn]
register;n. 寄存器,记录,注册,登记,登记簿vt. 记录,登记,注册,提示,套准,把...挂号vi. 登记,注册,挂号;['red9ist4]
rehearse;vt. 预演,排演,使排练,复述,背诵,练习vi. 排练,练习,演习;[rih'4:s]
reign;n. 执政,君主统治,统治,支配vi. 当政,统治,支配,占优势;[rein]
reimburse;vt. 付还,偿还,赔偿;['riim'b4:s]
reinforce;vt. 加强,增援,补充vi. 求援,得到增援n. 加固物;['ri:in'f3:s]
reiterate;vt. 反复地说,重申,反复地做;[ri:'it4reit]
reject;n. 被拒之人,被弃之物,不合格品,落选者,不及格者vt. 拒绝,抵制,否决,呕出,丢弃;[ri'd9ekt]
relapse;n. 复旧,故态复萌,再发,恶化vi. 故态复萌,再陷邪道,再度堕落;[ri'l1ps]
relax;vi. 放松,松懈,松弛,休养,休息vt. 使松弛,缓和,使松懈,使休息;[ri'l1ks]
relentless;a. 无情的,冷酷的,残酷的;[ri'lentlis]
relevant;a. 有关联的,中肯的,有关系的,相应的,成比例的,适当的;['reliv4nt]
reliable;a. 可靠的,可信赖的;[ri'lai4bl]
relieved;adj. 宽心的;[ri'li:v]
religion;n. 宗教,信仰;[ri'lid94n]
relinquish;vt. 放弃,撤回,让与,放手;[ri'li6kwi5]
reluctant;a. 不情愿的,勉强的,厌恶的;[ri'l8kt4nt]
remarkable;a. 不平常的,值得注意的,显著的;[ri'ma:k4bl]
remedy;n. 药物,治疗法,赔偿,补救,治疗vt. 治疗,补救,矫正,修缮,修补,改善;['remidi]
remind;vt. 提醒,使想起;[ri'maind]
remit;vt. 宽恕,赦免,免除,汇出,缓和,减轻,提交,传送vi. 缓和,汇款n. 移交的事物;[ri'mit]
remnant;n. 剩余,零碎货,遗迹a. 剩余的,残余的;['remn4nt]
remote;a. 遥远的,偏僻的,疏远的,细微的n. 远程;[ri'm4ut]
remove;n. 阶级,升级,距离,搬家,移动vt. 移动,调动,除去,移交,开除,迁移vi. 迁移,移动,搬家v. 删除;[ri'mu:v]
renaissance;n. 复活,复兴,文艺复兴a. 文艺复兴的;[r4'neis4ns]
rend;vt. 分裂,劈开,响彻,撕碎,强夺vi. 撕开,裂开;[rend]
render;vt. 报答,归还,汇报,提出,放弃,反映,表示,表达,表演,实施vi. 给予补偿n. 交纳,粉刷,打底;['rend4]
renounce;vt. 拒绝,放弃,否认,垫牌vi. 垫牌,放弃权利n. 垫牌;[ri'nauns]
renovate;vt. 更新,革新,恢复,修复,刷新;['ren4uveit]
renowned;a. 有名的,有声誉的;[ri'naund]
repel;vt. 逐退,抵制,使厌恶,抗vi. 反抗,击退;[ri'pel]
replenish;vt. 重新补足,再装满vi. 再装满,充满;[ri'pleni5]
reproach;n. 责备,耻辱vt.责备,申斥,使丢脸;[ri'pr4ut5]
reproduction;n. 再现,复制,复制品,繁殖,生殖;['ri:pr4'd8k54n]
repudiate;vt. 离婚,抛弃,拒绝履行,拒付,拒绝;[ri'pjudieit]
repulse;n. 击退,拒绝vt. 厌恶,击退,拒绝;[ri'p8ls]
repulsive;a. 逐退的,可恶的,冷淡的,排斥的;[ri'p8lsiv]
rescue;n. 援救,解救,营救vt. 援救,救出,营救;['reskju:]
resemble;vt. 相似,类似,象;[ri'zembl]
resent;vt. 愤恨,憎恶,怨恨;[ri'zent]
reside;vi. 住,居留,属于;[ri'zaid]
resident;n. 居民,常驻程序,居住者,留鸟a. 居留的,定居的;['rezid4nt]
residue;n. 残渣,剩余,余数;['rezidju]
resist;vt.vi. 抵抗,耐得住,抵制,反抗n. 防染剂;[ri'zist]
resolute;n. 果断的人a. 坚决的,刚毅的,毅然的;['rez4lju:t]
resolve;n. 决定之事,决心,坚决vi. 决定,分解,决心vt. 使分解,解析,决心,消除,解决;[ri'z3lv]
resolved;a. 下定决心的,断然的;[ri'z3lvd]
resonance;n. 共鸣,回声,共振,谐振,反响;['rAzn4ns]
respective;a. 分别的,各自的;[ris'pektiv]
respiration;n. 呼吸,一口气,呼吸作用;['resp4'rei54n]
responsible;a. 有责任的,负责的,责任重大的,可靠的;[ris'p3ns4bl]
restrain;vt. 抑制,阻止,束缚;[ris'trein]
restrict;vt. 限制,限定,约束;[ris'trikt]
resume;vt. 重新开始,_?恢复vi. 再开始n. 摘要,个人简历v. 继续执行;"[ri'zju:m;_rezju'mei]"
retain;vt. 保持,保有,聘请,记得,留住;[ri'tein]
retard;n. 阻止,延迟vt. 妨碍,延迟,迟缓vi. 减速,延迟;[ri'ta:d]
retort;n. 反驳,顶嘴,蒸馏器,曲颈瓶vi. 反驳,回嘴,反击vt. 反击,反驳,提纯;[ri't3:t]
retract;vt.vi. 缩回,收回,取消,撤销;[ri'tr1kt]
retrieve;vt. _?挽回,弥补,回忆,补偿vi. 找回猎物n. _?恢复的希望,救险球v. 检索;[ri'tri:v]
reveal;vt. 露出,显示,透露,(神)启示,泄露n. 窗侧,门侧;[ri'vi:l]
revelation;n. 揭露,泄露,启示,展示;['revi'lei54n]
revenue;n. 收入,岁入,税务局,税收,岁入细目;['revinju:]
revere;vt. 崇敬,敬畏,尊敬;[ri'vi4]
reverence;n. 尊敬,敬重,威望,尊严vt. 崇敬,敬畏,尊敬;['rev4r4ns]
revert;vi. 恢复,复归,回复vt. 使颠倒,使回转n. 恢复原信仰的人;[ri'v4:t]
revise;n. 校订,修正,再校稿vt. 校订,修正,校正;[ri'vaiz]
revive;vt. 使苏醒,使复兴,使振奋,回想起vi. 苏醒,复活,复兴,恢复精神;[ri'vaiv]
revoke;vt. 撤回,废除vi.n. 有牌不跟;[ri'v4uk]
riddle;n. 谜,谜语,粗筛vt. 解谜,给...出谜,筛,检查,充满于,非难,鉴定vi. 出谜;['ridl]
ridiculous;a. 荒谬的,可笑的;[ri'dikjul4s]
rigid;a. 硬的,坚硬的,刚性的,刻板的,精密的;['rid9id]
rigor;n. 严格,严厉,苛刻,精确,严密;['rig4]
rigorous;a. 严厉的,严酷的,严格的,精确的,严密的,苛刻的;['rig4r4s]
rim;n. 边,轮缘,框vt. 镶边,为...装边vi. 形成边状;[rim]
riot;n. 暴动,喧闹,奔放vi. 参加暴动,纵情,放荡vt. 浪费,挥霍;['rai4t]
ripe;a. 成熟的,熟练的,足够的,成年的;[raip]
risk;n. 冒险,危险,保险额vt. 冒...的危险,冒险干;[risk]
rite;n. 仪式,典礼,礼拜式,惯例,习俗;[rait]
rival;n. 对手,竞争者a. 竞争的;['raiv4l]
robust;a. 健康的,强健的,粗野的,坚定的;[r4u'b8st]
role;n. 角色,职份,任务;[r4ul]
rot;n. 腐烂,腐蚀,败坏vi. 腐烂,烂,堕落,憔悴vt. 使腐烂,使腐朽,使堕落;[r3t]
rotten;a. 腐烂的,恶臭的,堕落的,无用的,虚弱的,风化的;['r3tn]
rough;n. 粗糙的东西,毛坯,未加工品,梗概,艰难,暴徒a. 粗糙的,粗暴的,蓬乱的,草率的,大致的,艰难的vt. 使粗糙,使不平,使蓬乱,粗制,殴打,粗暴对待,草拟vi. 变粗糙ad. 粗糙地,粗暴地;[r8f]
routine;n. 常式,日常工作,惯例,例行公事a. 日常的,常规的n. 例程;[ru:'ti:n]
rubbish;n. 废物,垃圾,胡说;['r8bi5]
rudimentary;"adj. 1 基本的; 初步的2[生物]未发达的; 早期的,形成期的; 发育不全的,有痕迹的";['ru:di'ment4ri]
rugged;a. 高低不平的,崎岖的,粗糙的;['r8gid]
rumble;n. 隆隆声,辘辘声vi. 发隆隆声,辘辘响vt. 使隆隆响,低沉地说;['r8mbl]
ruminate;vt.vi. 反刍,沉思;['r:mineit]
rupture;n. 破裂,断裂,敌对,决裂,裂开vt.vi. (使)破裂;['r8pt54]
rust;n. 锈,生锈,衰退vi. 生锈,衰退vt. 使生锈,腐蚀;[r8st]
rustic;n. 乡下人,村夫,农民a. 乡村的,淳朴的,手工粗糙的;['r8stik]
ruthless;a. 无情的,残忍的,毫不留情的;['ru:7lis]
sacred;a. 神圣的,上帝的,庄严的,祭祀的;['seikrid]
saddle;n. 鞍,马鞍,车座,拖具vt. 装以马鞍,使负担vi. 跨上马鞍;['s1dl]
sake;n. 缘故,理由;[seik]
salvage;n. 海上救助,抢救,打捞vt. 海上救助,抢救,打捞,营救;['s1lvid9]
sample;n. 样品,标本vt. 抽取样品,尝试n. 示例,字样;['sa:mpl]
sanity;n. 神智健全,头脑清楚,健全;['s1n4ti]
sarcasm;n. 挖苦,讽刺;['sa:k1z4m]
sarcastic;a. 讽刺的,讥讽的,辛辣的;[sa:'k1stik]
sardonic;a. 嘲笑的,冷笑的,讥讽的;[sa:'d3nik]
satiate;vt. 使饱足,使厌腻,使充分满足a. 饱足的,吃饱的;['sei5ieit]
satire;n. 讽刺文学,讽刺;['s1tai4]
satisfactory;a. 满意的,赎罪的;['s1tis'f1kt4ri]
saturate;vt. 使渗透,浸透,使充满,使饱和a. 浸透的,饱度高的,深颜色的;['s1t54reit]
save;n. 救球vt. 解救,救,挽救,储蓄,保存,保留,保全,节省vi. 挽救,节省,救球prep. 除...之外v. 保存;[seiv]
savings;n. 储金;['seivi_z]
savor;"n. 1 味,香味;风味2  情趣,趣味,兴趣,刺激 3 vt.  (慢慢地) 品尝";['seiv4]
scale;n. 刻度,衡量,比例,比例尺,数值范围,等级,规模,天平,秤盘,秤,鳞,水?vt.依比例决定,攀登,测量,绘制,刮鳞,过秤,使生垢,使生鳞vi. 剥落,生水垢,衡量,攀登n. 刻度;[skeil]
scan;n. 审视,浏览,细查,押韵,扫描vt. 细看,浏览,分析韵律,详细调查,扫描vi. 押韵,扫描;[sk1n]
scandal;n. 丑闻,中伤,流言蜚语,反感,耻辱;['sk1ndl]
scanty;a. 缺乏的,仅有的,节省的,狭小的,不够的;['sk1nti]
scarce;a. 难得的,_钡?缺乏的;[skA4s]
scare;n. 惊吓,恐慌vt. 惊吓,使恐慌vi. 受惊;[skA4]
scatter;n. 消散,分散,散播,酒馆,散布,散射vi. 散布,散播,消散vt. 使消散,使分散,撒,散射,散播;['sk1t4]
scenery;n. 风景,景色,舞台布景;['si:n4ri]
schedule;n. 时间表,一览表,计划表,议事日程vt. 预定,编制目录,制...表,安排;['5edju:l]
scholarship;n. 学问,学术成就,奖学金;['sk3l45ip]
scoop;n. 铲子,勺子,独家新闻,口,穴vt. 汲取,舀取,挖空,抢先登出;[sku:p]
scope;n. 范围,机会,广度,导弹射程,观察仪器,眼界;[sk4up]
scorch;n. 烧焦,枯黄vt.vi. 烧焦,拷焦,(使)枯萎,讽刺;[sk3:t5]
scornful;a. 轻蔑的;['sk3:nful]
scout;n. 守候,侦察,侦察机,侦察员,搜索vi. 守候,侦察,巡视,嘲笑vt. 侦察,跟踪,嘲弄,监视;[skaut]
scrap;n.碎片,残余物,些微,吵架,铁屑,片断vt. 扔弃,敲碎,拆毁vi. 互相殴打a. 零碎的,废弃的;[skr1p]
scratch;n. 抓痕,搔,抓,擦伤,刮擦声,乱写,未中的一击,起跑线,零vt. 搔,抓,挖出,擦,勾抹掉,乱涂,刮vi. 搔,抓,发刮擦声,勉强糊口a. 碰巧的,凑合的,打草稿用的;[skr1t5]
screen;n. 屏,幕,银幕,屏风,筛子,屏蔽,掩蔽物vt. 掩蔽,放映,拍摄,甄别,筛,掩护vi. 拍电影;[skri:n]
scruple;n. 踌躇,犹豫,微量vi. 踌躇,有顾忌;['skru:pl]
scrupulous;a. 小心谨慎的,细心的;['skru:pjul4s]
scrutinize;vt. 1 细察,详审2 仔细打量,端详;['skru:tinaiz]
sculpture;n. 雕刻,雕塑vt. 雕刻,雕塑vi. 当雕刻师;['sk8lpt54]
sear;a. 枯萎的,烤焦的vt. 烤焦,使枯萎vi. 凋谢,干枯;[si4]
seasoning;n. 1 a. (U) 调味b. (C) 调味品,佐料,香辣调味料2 (C) 增添趣味的东西3 (U) (木材等的) 干燥;['si:z_ni_]
seclusion;n. 隔离,孤立,隐退;[si'klu94n]
secrete;vt. 隐秘,隐藏,隐匿,分泌;[si'kri:t]
secretion;n. 分泌,分泌物,分泌液;[si'kri54n]
sedate;a. 沉着的,镇静的,安静的vt. 给...服镇静剂;[si'deit]
sediment;n. 沉淀物,沉积;['sedim4nt]
seemingly;adv. 1 表面上,外表上2 [修饰整句]看起来 (显然);['si:mi_li]
segment;n. 片段,部分,分节vt.vi. 分割,分裂n. 段;['segm4nt]
segregate;a. 分离的,被隔离的vi. 分离,隔离,分凝vt. 使分离,使隔离;['segrigeit]
seize;vt. 抓住,逮捕,俘获,掌握,扣押vi. 突然抓住,利用;[si:z]
selection;n. 选择,选文,选品;[si'lek54n]
selfish;a. 自私的,利己主义的,自我中心的;['selfi5]
semester;n. 学期;[s4'mest4]
sensible;a. 有感觉的,有判断力的,明智的;['sens4bl]
sensitive;a. 敏感的,易感的,灵敏的,感光的;['sensitiv]
sensuous;a. 感觉上的,给人美感的;['sAn5u4s]
sentimental;a. 感伤性的,感情脆弱的;['senti'mentl]
sequence;n. 序列,继起的事,次序,连续,顺序vt. 按顺序排好n. 顺序;['si:kw4ns]
serene;a. 宁静的,沉着的,安详的,晴朗的n. 晴朗,平静;[si'ri:n]
serenity;n. 宁静,沉着,晴朗;[si'reniti]
serious;a. 严肃的,认真的,重要的,严重的;['si4ri4s]
sermon;n. 说教,训诫,布道;['s4:m4n]
session;n. 期间,开庭期,会议,学期;['se54n]
sever;vt. 切断,脱离,分开,中断,断绝,使分离vi. 断,裂开,被分开;['sev4]
severe;a. 严格的,凶猛的,严肃的,朴素的,严厉的,严重的;[si'vi4]
shabby;a. 衣衫褴褛的,不体面的,卑鄙的,吝啬的,破旧的;['51bi]
shackle;n. 桎梏,束缚物vt. 加桎梏,加枷锁,束缚;['51kl]
shade;n. 荫,阴暗,荫凉处,遮光物,灯罩,些微,浓淡,帘vi. 渐变vt. 使阴暗,使渐变,遮蔽,微减n. 底纹;[5eid]
shaft;n.轴,箭杆,矛,杆状物vt. 装杆于,利用;[5a:ft]
shake;n. 摇动,震动vt. 摇动,动摇,使震动,挥舞vi. 震动,发抖,动摇;[5eik]
sallow;a. 灰色的,苍白的,气色不好的vt.vi. (使)成菜色n. 柳属植物,柳枝;['s1lou]
shameless;a. 不知羞耻的;['5emlis]
sharpen;vt. 使尖锐,使敏捷,加重,使剧烈vi. 尖锐化,变锋利;['5a:p4n]
shatter;n. 碎片,粉碎,落叶,乱七八糟的状态vt. 打碎,使散开,粉碎,破坏vi. 粉碎,损坏,落叶;['51t4]
shear;n. 修剪,剪下的东西,羊的一岁,大剪刀,切,剪,切变vt. 修剪,割,砍,切,剥夺vi. 剪,修剪,剪羊毛,切断;[5i4]
sheathe;vt. 插入鞘,覆盖;[5i0]
sheer;a. 绝对的,全然的,彻底的,峻峭的,透明的,纯粹的vi. 躲开,躲避,偏航,vt. 使避开,使偏航ad. 完全,全然,峻峭n. 偏航;[5i4]
shield;n. 盾,防卫物vt. 保护,遮蔽,避开,挡开,庇护vi. 起保护作用;[5i:ld]
shipment;n. 装船,出货;['5ipm4nt]
shove;n. 推,挤vt. 推挤,猛推,强使vi. 推;[58v]
shrewd;a. 精明的,锐利的,厉害的,机灵的,剧烈的;[5ru:d]
shrink;n. 收缩,萎缩,畏缩vi. 收缩,退缩,畏缩,缩小,萎缩vt. 使收缩,使缩小;[5rink]
shuffle;n. 拖着脚走,曳步,洗纸牌,蒙混vt.vi. 拖曳,搅乱,洗牌,推诿,慢吞吞地走;['58fl]
shun;vt. 避开,规避,避免;[58n]
shy;n. 惊跳,惊避a. 胆怯的,畏缩的,怀疑的,羞怯的vi. 惊跳,乱投,避开,厌恶vt. 乱投,乱掷;[5ai]
sick;n. 病人a. 不舒服,有病的,恶心的,病态的,渴望的,厌恶的vt. 呕吐,使狗去攻击;[sik]
sicken;vt. 患病,使厌倦,使恶心vi. 生病,作呕;['sikn]
siege;n. 包围,围攻,再三的努力vt. 包围,围攻;[si:d9]
sigh;n. 叹息vi. 叹息,渴望vt. 叹息着说;[sai]
significant;a. 重要的,有含义的,非偶然的,有效的,暗示的;[sig'nifik4nt]
signify;vt. 象征,预示vi. 要紧;['signifai]
silica;n. 硅石,无水硅酸,硅土;['silik4]
silly;a. 愚蠢的,糊涂的;['sili]
simulate;vt. 模拟,假装,模仿;['simjuleit]
simultaneously;adv. 1 同时地2 同时地[with];[_sim_l'teinj_sli]
sin;n. 罪,犯罪,失礼,过失,犯法vt.vi. 犯;[sin]
singe;vt.vi. 烧焦,烤焦;[sind9]
sinister;a. 不吉利的,凶恶的,左边的;['sinist4]
site;n. 位置,场所,地点vt. 定位;[sait]
skeptic;n. 怀疑者,怀疑论者,无神论者;['skeptik]
skeptical;adj. 1 a. 怀疑的,多疑的b. [对…]怀疑的,不信的[about,of]2 无神论的 adv. ~ly;['skeptikl]
sketch;n. 素描,草图,小品vt.vi.描绘略图,写生;[sket5]
skillful;a. 熟练的,巧妙的;['skilful]
skim;vt. 撇_∧?略读,掠过vi. 擦过,浏览n. 脱脂乳,擦过a. 撇_∧_说?;[skim]
skimpy;a. 不足的,吝啬的;['skimpi]
slacken;vt.使松弛,放松,放慢vi.变松弛,减弱,呆滞;['sl1k4n]
slag;n. 熔渣,铁屑,矿渣vt. 使变成熔渣vi. 变熔渣;[sl1g]
slander;n. 中伤,诽谤vt. 中伤,诽谤;['sla:nd4]
slant;n. 倾斜,斜面,歪曲,偏见,观点a. 倾斜的vt.vi. (使)倾斜;[sla:nt]
slap;n. 掴,侮辱,拍击声vt.vi. 拍击,侮辱ad. 正面地,直接地,突然地;[sl1p]
slight;n. 轻蔑,怠慢a. 轻微的,纤细的,,苗条的,脆弱的vt. 轻视,忽略,怠慢;[slait]
slim;a. 瘦的,苗条的,无价值的,稀少的vi. 变苗条vt. 使苗条;[slim]
slippery;a. 滑的,光滑的,靠不住的,含糊的,不稳固的,圆滑的;['slip4ri]
slogan;n. 呐喊声,标语,口号;['sl4ug4n]
slope;n. 倾斜,斜坡,斜率,掮枪的姿势vt. 使倾斜,弄斜,掮vi. 倾斜,逃走;[sl4up]
sloppy;a. 被泼水弄湿的,泥泞的,多阴雨的,粗心的;['sl3pi]
slovenly;adj. 不修边幅的,邋遢的,懒散的 adv. 不修边幅地,懒散地 n. -liness;['sl_v_nli]
slug;n. 鼻涕虫,懒汉,子弹,金属小块vi. 偷懒,捕鼻涕虫vt. 插嵌片于;[sl8g]
sluggish;a. 偷懒的,懒惰的,迟钝的;['sl8gi5]
slump;n. 暴跌,意气消沉vi. 猛然掉落,陷入,消沉;[sl8mp]
sly;a. 狡猾的,诡秘的,淘气的,偷偷摸摸的;[slai]
smash;n. 打碎,粉碎,猛击,扣球,杀球,假硬币a. 非常的,了不起的vt. 打碎,粉碎,击溃,使用假硬币,使裂变,使破产ad. 轰隆一声;[sm15]
smear;vt. 涂,擦上,玷污,抹擦使变模糊vi. 被弄脏n. 污点,污迹,污蔑;[smi4]
smell;n. 味道,气味,嗅觉,风味,臭味,嗅vt. 闻,探出,察觉,发出...的味道vi.嗅,散发气味,发臭;[smel]
smother;vt. 使喘不过气,使窒息,闷熄,覆盖,抑制,忍住vi. 窒息,被抑制n. 浓烟,窒息状态,杂乱无章;['sm804]
snag;n. 残干,根株,断牙,意外障碍vt. 阻碍,抢到,清除障碍物;[sn1g]
snap;vt. 咬断,猛咬,争夺,拉断,使有啪啪声,用快照拍摄vi. 咬,扑,抓,折断,砰然关上,厉声说,劈啪地响n. 猛咬,猛扑,劈啪声,申斥,谩骂,快照,揿钮,少量,活力a. 突然的,装搭扣的,;[sn1p]
sneak;vi. 鬼鬼祟祟做事vt. 偷偷摸摸地做n. 鬼鬼祟祟的人,旅行鞋,偷偷摸摸的行为;[sni:k]
sneer;n. 冷笑,嘲笑vi. 嘲笑,冷笑vt. 嘲笑着说,嘲笑着使;[sni4]
snobbish;a. 充绅士气派的,俗不可耐的,势利的;['sn3bi5]
sober;a. 清醒的,稳重的,节制的,严肃的,朴素的,合理的,不夸大的vt. 使清醒,使严肃vi. 从醉里醒来,变严肃;['s4ub4]
sociable;a. 好交际的,社交的,友善的n. 联谊会;['s4u54bl]
sojourn;n. 逗留,旅居vi. 逗留,旅居;['s3d94:n]
solar;a. 太阳的,日光的,源自太阳的;['s4ul4]
sole;n. 脚掌,鞋底,底部a. 唯一的,仅有的,单独的,独身的vt. 上以鞋底,触底;[s4ul]
solemn;a. 严肃的,郑重的,庄严的;['s3l4m]
solicit;vt.vi. 请求,乞求,诱惑,征求;[s4'lisit]
solicitous;a. 热心的,渴望的,热切期望的;[s4'lisit4s]
solidly;adv. 坚硬地, 稳固地;['s_lidli]
solitary;n. 独居者a. 孤独的,独居的;['s3lit4ri]
solitude;n. 孤独,单独,孤寂;['s3litju:d]
somewhat;n. 某物,几分ad. 多少,几分;['s8mw3t]
soothe;vt. 缓和,使安静,安慰,奉承vi. 起安慰作用;[su:0]
souvenir;n. 纪念品;['su:v4ni4]
sovereignty;n. 主权,独立国;['s3vrinti]
spaceship;n. 太空船;['speis5ip]
spacious;a. 广大的,大规模的;['spei54s]
spawn;n. 卵,鱼卵vt. 产卵,酿成vi. 产卵;[sp3:n]
spectacle;n. 值得看的东西,光景,公开展示,场面;['spekt4kl]
spectacular;a. 公开展示的,惊人的n. 展览物;[spek't1kjul4]
spectator;n. 观众,目击者,旁观者;[spek'teit4]
speculate;vi. 深思,推测,投机;['spekjuleit]
speedy;a. 快的,迅速的;['spi:di]
spew;vi. 呕吐,喷涌vt. 呕出,喷n. 呕吐物,喷涌物;[spju:]
sphere;n. 球,球面,球体,范围,地球仪vt. 包围,使成球体,放入球内;[sfi4]
spine;n. 背骨,脊柱,尖刺;[spain]
spineless;a. 无脊椎的,没有骨气的,懦弱的;['spainlis]
spleen;n. 脾脏,坏脾气,怨恨;[spli:n]
splendid;a. 光亮的,了不起的,灿烂的,杰出的,显著的,壮丽的;['splendid]
splendor;((英))splen.dour['splend2] (U) [常 ~s]1 灿烂,光辉,光彩2 华丽,堂皇;['splend_]
spoil;n. 战利品,赃物,次品,掠夺,奖品vt. 损坏,破坏,溺爱vi. 腐坏,掠夺;[sp3il]
spontaneous;a. 自然的,自发的,未经琢磨的;[sp3n'teinj4s]
sporadic;a. 偶尔发生的,零星发生的,分散的;[sp4u'r1dik]
spot;n. 污点,地点,斑点,点,少量,处境,缺点a. 当场的,现场的,现货买卖的vt. 点缀,玷污,用灯光照射,准确定...的位,认出;[sp3t]
spouse;n. 配偶,夫妻;[spauz]
spout;n. 喷口vt. 喷出,喷射,滔滔不绝说出,典押vi. 喷射,高谈阔论;[spaut]
sprawl;vi. 伸开手足躺,爬行,蔓生,蔓延vt. 懒散地伸开,使蔓生,潦草地书写n. 伸开手足的姿势;[spr3:l]
spray;n. 水沫,浪花,水花,小树枝,喷雾器,喷雾vt. 喷雾,扫射,喷射vi. 喷,溅散;[sprei]
spring;n. 春天,弹簧,跳跃,弹性,源泉,泉a. 春天的vi. 跳,弹跳,涌出,高耸,裂开,生长;[spri6]
sprout;n. 芽,萌芽vt. 使发芽,摘去芽vi. 长芽,抽条;[spraut]
spurt;n. 喷射,冲刺vt. 喷射vi. 喷出,迸发,冲刺;[sp4:t]
squabble;vi. 争吵,口角n. 争吵,口角;['skw3bl]
squad;n. 班,小队,小集团vt. 编成班;[skw3d]
squander;vt. 浪费,使分散vi. 浪费,漂泊,四散;['skw3nd4]
square;n. 正方形,街区,直角尺,平方,广场a. 正方形的,正直的,公正的,两讫的,矩形的,平方的ad. 成直角地,对准地vi. 一致,符合,结清vt. 使成方形,使平方自乘,使一致,结清,调正;[skwA4]
squash;n. 压碎的东西,南瓜,拥挤嘈杂的人群vt. 压扁,镇压,压制vi.被压扁,发溅泼声,挤入;[skw35]
squeak;n. 吱吱声,机会vi. 吱吱叫,告密,侥幸成功vt. 以短促尖声发出;[skwi:k]
squeeze;n. 紧握,挤,榨,佣金,压榨,榨取vt. 紧握,挤,榨取vi. 压榨,榨;['skwi:z]
stab;n. 刺,戳,努力,尝试,剧痛vt.刺,戳,刺入,使伤心,使贯穿,刺痛vi. 刺,刺伤;[st1b]
stable;n. 马房,牛棚a. 稳定的,安定的,坚固的,坚定的vt. 赶入马房;['steibl]
staff;n. 全体人员,同事,棍棒,杆,权杖,支柱,拐杖vt. 为...配备人员;[sta:f]
stagger;n. 蹒跚,踌躇vi. 蹒跚,犹豫vt. 使摇摆,使踌躇,交错,错开a. 交错的,错开的;['st1g4]
stale;n. 尿a. 不新鲜的,陈腐的,疲倦的,陈旧的vt. 使变旧,走味vi. 变陈旧,变无味,失时效,撒尿;[steil]
stalk;n. 茎,追踪,高视阔步vi. 悄悄靠近,蹑手蹑脚地走近,蔓延,高视阔步vt. 追踪,搜索;[st3:k]
stall;n. 厩,停车处,牧师职位,拖延,托辞,货摊vt. 关入厩,停顿,使陷于泥中,支吾,推托vi. 被关在厩内,陷于泥中,停止,支吾;[st3:l]
stamina;n. 精力,活力,耐力,stamen的复数;['st1m4n4]
stand;n. 站立,站住,停顿,讲台,法院证人席,立场vi. 站,立,坐落,停滞,维持原状,坚持vt.忍受,使站立,接受;[st1nd]
startle;n. 惊愕,惊恐vt. 吃惊,使惊愕vi. 惊起;['sta:tl]
starve;vt. 使饿死vi. 饿得要死;[sta:v]
static;n. 静电,静电干扰a. 静态的,静电的;['st1tikl]
stationary;"adj. 1 a. 不动的,静止的,停止的b.  (不移动而) 定居的c. 无变化的,停滞的; 无增减 [变动] 的2 固定的";['stei__n_ri, -neri]
stationery;n. 文具,信纸;['stei54n4ri]
statistics;n. 统计学,统计表;[st4'tistiks]
statue;vt. 以雕像装饰n. 雕像;['st1tju:]
status;n. 状态,情形,地位,重要身份n. 状态;['steit4s]
steadfast;a. 坚定的,踏实的,固定的,不变的;['stedf4st]
steady;a. 稳定的,不动摇的,沉着的,可靠的,坚定的,稳固的vt. 使稳定,使坚定vi. 变为沉着,稳固;['stedi]
sterile;a. 不毛的,不孕的,无菌的,枯燥的,无效的,贫瘠的;['sterail]
stem;n. 茎,柄,堵塞物,血统,船首vt. 摘掉茎,装柄于,逆行,堵住,阻止vi. 堵住,逆行;[stem]
sticky;a. 粘的,有粘性的,顽固的;['stiki]
stiff;a. 坚硬的,严厉的,呆板的,生硬的,刚强的,猛烈的,艰难的,稠的,粘的n. 死尸,醉鬼,钞票vt. 不肯付...小费;[stif]
still;n. 蒸馏室,寂静,剧照vt. vi. 蒸馏,(使)平静,(使)静止a. 静止的,不动的,静物摄影的,不起泡的,静寂的ad. 仍然,更,静止地conj. 然而,但是;[stil]
stimulate;vt. 刺激,激励,鼓舞vi. 起刺激作用;['stimjuleit]
