abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
refuge;n. ±ÜÄÑËù,°²È«µØ´ø,±ÜÄÑ,±Ó»¤vi. ¶ã±Üvt. ±Ó»¤;['refju:d9]
refund;n. ³¥»¹vt. ¸¶»¹,³¥»¹½è¿î,»»»ØÐÂ¹«Õ®vi. ¹é»¹,³¥»¹;[ri:'f8nd]
refute;vt. ²µµ¹,·´²µ;[ri'fju:t]
regimen;n. ÉãÉú,ÑøÉú·¨,Ê³ÎïÁÆ·¨;['rAd94'mAn]
register;n. ¼Ä´æÆ÷,¼ÇÂ¼,×¢²á,µÇ¼Ç,µÇ¼Ç²¾vt. ¼ÇÂ¼,µÇ¼Ç,×¢²á,ÌáÊ¾,Ì××¼,°Ñ...¹ÒºÅvi. µÇ¼Ç,×¢²á,¹ÒºÅ;['red9ist4]
rehearse;vt. Ô¤ÑÝ,ÅÅÑÝ,Ê¹ÅÅÁ·,¸´Êö,±³ËÐ,Á·Ï°vi. ÅÅÁ·,Á·Ï°,ÑÝÏ°;[rih'4:s]
reign;n. Ö´Õþ,¾ýÖ÷Í³ÖÎ,Í³ÖÎ,Ö§Åävi. µ±Õþ,Í³ÖÎ,Ö§Åä,Õ¼ÓÅÊÆ;[rein]
reimburse;vt. ¸¶»¹,³¥»¹,Åâ³¥;['riim'b4:s]
reinforce;vt. ¼ÓÇ¿,ÔöÔ®,²¹³ävi. ÇóÔ®,µÃµ½ÔöÔ®n. ¼Ó¹ÌÎï;['ri:in'f3:s]
reiterate;vt. ·´¸´µØËµ,ÖØÉê,·´¸´µØ×ö;[ri:'it4reit]
reject;n. ±»¾ÜÖ®ÈË,±»ÆúÖ®Îï,²»ºÏ¸ñÆ·,ÂäÑ¡Õß,²»¼°¸ñÕßvt. ¾Ü¾ø,µÖÖÆ,·ñ¾ö,Å»³ö,¶ªÆú;[ri'd9ekt]
relapse;n. ¸´¾É,¹ÊÌ¬¸´ÃÈ,ÔÙ·¢,¶ñ»¯vi. ¹ÊÌ¬¸´ÃÈ,ÔÙÏÝÐ°µÀ,ÔÙ¶È¶éÂä;[ri'l1ps]
relax;vi. ·ÅËÉ,ËÉÐ¸,ËÉ³Ú,ÐÝÑø,ÐÝÏ¢vt. Ê¹ËÉ³Ú,»ººÍ,Ê¹ËÉÐ¸,Ê¹ÐÝÏ¢;[ri'l1ks]
relentless;a. ÎÞÇéµÄ,Àä¿áµÄ,²Ð¿áµÄ;[ri'lentlis]
relevant;a. ÓÐ¹ØÁªµÄ,ÖÐ¿ÏµÄ,ÓÐ¹ØÏµµÄ,ÏàÓ¦µÄ,³É±ÈÀýµÄ,ÊÊµ±µÄ;['reliv4nt]
reliable;a. ¿É¿¿µÄ,¿ÉÐÅÀµµÄ;[ri'lai4bl]
relieved;adj. ¿íÐÄµÄ;[ri'li:v]
religion;n. ×Ú½Ì,ÐÅÑö;[ri'lid94n]
relinquish;vt. ·ÅÆú,³·»Ø,ÈÃÓë,·ÅÊÖ;[ri'li6kwi5]
reluctant;a. ²»ÇéÔ¸µÄ,ÃãÇ¿µÄ,Ñá¶ñµÄ;[ri'l8kt4nt]
remarkable;a. ²»Æ½³£µÄ,ÖµµÃ×¢ÒâµÄ,ÏÔÖøµÄ;[ri'ma:k4bl]
remedy;n. Ò©Îï,ÖÎÁÆ·¨,Åâ³¥,²¹¾È,ÖÎÁÆvt. ÖÎÁÆ,²¹¾È,½ÃÕý,ÐÞÉÉ,ÐÞ²¹,¸ÄÉÆ;['remidi]
remind;vt. ÌáÐÑ,Ê¹ÏëÆð;[ri'maind]
remit;vt. ¿íË¡,ÉâÃâ,Ãâ³ý,»ã³ö,»ººÍ,¼õÇá,Ìá½»,´«ËÍvi. »ººÍ,»ã¿în. ÒÆ½»µÄÊÂÎï;[ri'mit]
remnant;n. Ê£Óà,ÁãËé»õ,ÒÅ¼£a. Ê£ÓàµÄ,²ÐÓàµÄ;['remn4nt]
remote;a. Ò£Ô¶µÄ,Æ«Æ§µÄ,ÊèÔ¶µÄ,Ï¸Î¢µÄn. Ô¶³Ì;[ri'm4ut]
remove;n. ½×¼¶,Éý¼¶,¾àÀë,°á¼Ò,ÒÆ¶¯vt. ÒÆ¶¯,µ÷¶¯,³ýÈ¥,ÒÆ½»,¿ª³ý,Ç¨ÒÆvi. Ç¨ÒÆ,ÒÆ¶¯,°á¼Òv. É¾³ý;[ri'mu:v]
renaissance;n. ¸´»î,¸´ÐË,ÎÄÒÕ¸´ÐËa. ÎÄÒÕ¸´ÐËµÄ;[r4'neis4ns]
rend;vt. ·ÖÁÑ,Åü¿ª,Ïì³¹,ËºËé,Ç¿¶ávi. Ëº¿ª,ÁÑ¿ª;[rend]
render;vt. ±¨´ð,¹é»¹,»ã±¨,Ìá³ö,·ÅÆú,·´Ó³,±íÊ¾,±í´ï,±íÑÝ,ÊµÊ©vi. ¸øÓè²¹³¥n. ½»ÄÉ,·ÛË¢,´òµ×;['rend4]
renounce;vt. ¾Ü¾ø,·ÅÆú,·ñÈÏ,µæÅÆvi. µæÅÆ,·ÅÆúÈ¨Àûn. µæÅÆ;[ri'nauns]
renovate;vt. ¸üÐÂ,¸ïÐÂ,»Ö¸´,ÐÞ¸´,Ë¢ÐÂ;['ren4uveit]
renowned;a. ÓÐÃûµÄ,ÓÐÉùÓþµÄ;[ri'naund]
repel;vt. ÖðÍË,µÖÖÆ,Ê¹Ñá¶ñ,¿¹vi. ·´¿¹,»÷ÍË;[ri'pel]
replenish;vt. ÖØÐÂ²¹×ã,ÔÙ×°Âúvi. ÔÙ×°Âú,³äÂú;[ri'pleni5]
reproach;n. Ôð±¸,³ÜÈèvt.Ôð±¸,Éê³â,Ê¹¶ªÁ³;[ri'pr4ut5]
reproduction;n. ÔÙÏÖ,¸´ÖÆ,¸´ÖÆÆ·,·±Ö³,ÉúÖ³;['ri:pr4'd8k54n]
repudiate;vt. Àë»é,Å×Æú,¾Ü¾øÂÄÐÐ,¾Ü¸¶,¾Ü¾ø;[ri'pjudieit]
repulse;n. »÷ÍË,¾Ü¾øvt. Ñá¶ñ,»÷ÍË,¾Ü¾ø;[ri'p8ls]
repulsive;a. ÖðÍËµÄ,¿É¶ñµÄ,Àäµ­µÄ,ÅÅ³âµÄ;[ri'p8lsiv]
rescue;n. Ô®¾È,½â¾È,Óª¾Èvt. Ô®¾È,¾È³ö,Óª¾È;['reskju:]
resemble;vt. ÏàËÆ,ÀàËÆ,Ïó;[ri'zembl]
resent;vt. ·ßºÞ,Ô÷¶ñ,Ô¹ºÞ;[ri'zent]
reside;vi. ×¡,¾ÓÁô,ÊôÓÚ;[ri'zaid]
resident;n. ¾ÓÃñ,³£×¤³ÌÐò,¾Ó×¡Õß,ÁôÄña. ¾ÓÁôµÄ,¶¨¾ÓµÄ;['rezid4nt]
residue;n. ²ÐÔü,Ê£Óà,ÓàÊý;['rezidju]
resist;vt.vi. µÖ¿¹,ÄÍµÃ×¡,µÖÖÆ,·´¿¹n. ·ÀÈ¾¼Á;[ri'zist]
resolute;n. ¹û¶ÏµÄÈËa. ¼á¾öµÄ,¸ÕÒãµÄ,ÒãÈ»µÄ;['rez4lju:t]
resolve;n. ¾ö¶¨Ö®ÊÂ,¾öÐÄ,¼á¾övi. ¾ö¶¨,·Ö½â,¾öÐÄvt. Ê¹·Ö½â,½âÎö,¾öÐÄ,Ïû³ý,½â¾ö;[ri'z3lv]
resolved;a. ÏÂ¶¨¾öÐÄµÄ,¶ÏÈ»µÄ;[ri'z3lvd]
resonance;n. ¹²Ãù,»ØÉù,¹²Õñ,Ð³Õñ,·´Ïì;['rAzn4ns]
respective;a. ·Ö±ðµÄ,¸÷×ÔµÄ;[ris'pektiv]
respiration;n. ºôÎü,Ò»¿ÚÆø,ºôÎü×÷ÓÃ;['resp4'rei54n]
responsible;a. ÓÐÔðÈÎµÄ,¸ºÔðµÄ,ÔðÈÎÖØ´óµÄ,¿É¿¿µÄ;[ris'p3ns4bl]
restrain;vt. ÒÖÖÆ,×èÖ¹,Êø¸¿;[ris'trein]
restrict;vt. ÏÞÖÆ,ÏÞ¶¨,Ô¼Êø;[ris'trikt]
resume;vt. ÖØÐÂ¿ªÊ¼,_?»Ö¸´vi. ÔÙ¿ªÊ¼n. ÕªÒª,¸öÈË¼òÀúv. ¼ÌÐøÖ´ÐÐ;"[ri'zju:m;_rezju'mei]"
retain;vt. ±£³Ö,±£ÓÐ,Æ¸Çë,¼ÇµÃ,Áô×¡;[ri'tein]
retard;n. ×èÖ¹,ÑÓ³Ùvt. ·Á°­,ÑÓ³Ù,³Ù»ºvi. ¼õËÙ,ÑÓ³Ù;[ri'ta:d]
retort;n. ·´²µ,¶¥×ì,ÕôÁóÆ÷,Çú¾±Æ¿vi. ·´²µ,»Ø×ì,·´»÷vt. ·´»÷,·´²µ,Ìá´¿;[ri't3:t]
retract;vt.vi. Ëõ»Ø,ÊÕ»Ø,È¡Ïû,³·Ïú;[ri'tr1kt]
retrieve;vt. _?Íì»Ø,ÃÖ²¹,»ØÒä,²¹³¥vi. ÕÒ»ØÁÔÎïn. _?»Ö¸´µÄÏ£Íû,¾ÈÏÕÇòv. ¼ìË÷;[ri'tri:v]
reveal;vt. Â¶³ö,ÏÔÊ¾,Í¸Â¶,(Éñ)ÆôÊ¾,Ð¹Â¶n. ´°²à,ÃÅ²à;[ri'vi:l]
revelation;n. ½ÒÂ¶,Ð¹Â¶,ÆôÊ¾,Õ¹Ê¾;['revi'lei54n]
revenue;n. ÊÕÈë,ËêÈë,Ë°Îñ¾Ö,Ë°ÊÕ,ËêÈëÏ¸Ä¿;['revinju:]
revere;vt. ³ç¾´,¾´Î·,×ð¾´;[ri'vi4]
reverence;n. ×ð¾´,¾´ÖØ,ÍþÍû,×ðÑÏvt. ³ç¾´,¾´Î·,×ð¾´;['rev4r4ns]
revert;vi. »Ö¸´,¸´¹é,»Ø¸´vt. Ê¹µßµ¹,Ê¹»Ø×ªn. »Ö¸´Ô­ÐÅÑöµÄÈË;[ri'v4:t]
revise;n. Ð£¶©,ÐÞÕý,ÔÙÐ£¸åvt. Ð£¶©,ÐÞÕý,Ð£Õý;[ri'vaiz]
revive;vt. Ê¹ËÕÐÑ,Ê¹¸´ÐË,Ê¹Õñ·Ü,»ØÏëÆðvi. ËÕÐÑ,¸´»î,¸´ÐË,»Ö¸´¾«Éñ;[ri'vaiv]
revoke;vt. ³·»Ø,·Ï³ývi.n. ÓÐÅÆ²»¸ú;[ri'v4uk]
riddle;n. ÃÕ,ÃÕÓï,´ÖÉ¸vt. ½âÃÕ,¸ø...³öÃÕ,É¸,¼ì²é,³äÂúÓÚ,·ÇÄÑ,¼ø¶¨vi. ³öÃÕ;['ridl]
ridiculous;a. »ÄÃýµÄ,¿ÉÐ¦µÄ;[ri'dikjul4s]
rigid;a. Ó²µÄ,¼áÓ²µÄ,¸ÕÐÔµÄ,¿Ì°åµÄ,¾«ÃÜµÄ;['rid9id]
rigor;n. ÑÏ¸ñ,ÑÏÀ÷,¿Á¿Ì,¾«È·,ÑÏÃÜ;['rig4]
rigorous;a. ÑÏÀ÷µÄ,ÑÏ¿áµÄ,ÑÏ¸ñµÄ,¾«È·µÄ,ÑÏÃÜµÄ,¿Á¿ÌµÄ;['rig4r4s]
rim;n. ±ß,ÂÖÔµ,¿òvt. Ïâ±ß,Îª...×°±ßvi. ÐÎ³É±ß×´;[rim]
riot;n. ±©¶¯,ÐúÄÖ,±¼·Åvi. ²Î¼Ó±©¶¯,×ÝÇé,·Åµ´vt. ÀË·Ñ,»Ó»ô;['rai4t]
ripe;a. ³ÉÊìµÄ,ÊìÁ·µÄ,×ã¹»µÄ,³ÉÄêµÄ;[raip]
risk;n. Ã°ÏÕ,Î£ÏÕ,±£ÏÕ¶îvt. Ã°...µÄÎ£ÏÕ,Ã°ÏÕ¸É;[risk]
rite;n. ÒÇÊ½,µäÀñ,Àñ°ÝÊ½,¹ßÀý,Ï°Ë×;[rait]
rival;n. ¶ÔÊÖ,¾ºÕùÕßa. ¾ºÕùµÄ;['raiv4l]
robust;a. ½¡¿µµÄ,Ç¿½¡µÄ,´ÖÒ°µÄ,¼á¶¨µÄ;[r4u'b8st]
role;n. ½ÇÉ«,Ö°·Ý,ÈÎÎñ;[r4ul]
rot;n. ¸¯ÀÃ,¸¯Ê´,°Ü»µvi. ¸¯ÀÃ,ÀÃ,¶éÂä,ã¾ã²vt. Ê¹¸¯ÀÃ,Ê¹¸¯Ðà,Ê¹¶éÂä;[r3t]
rotten;a. ¸¯ÀÃµÄ,¶ñ³ôµÄ,¶éÂäµÄ,ÎÞÓÃµÄ,ÐéÈõµÄ,·ç»¯µÄ;['r3tn]
rough;n. ´Ö²ÚµÄ¶«Î÷,Ã«Å÷,Î´¼Ó¹¤Æ·,¹£¸Å,¼èÄÑ,±©Í½a. ´Ö²ÚµÄ,´Ö±©µÄ,ÅîÂÒµÄ,²ÝÂÊµÄ,´óÖÂµÄ,¼èÄÑµÄvt. Ê¹´Ö²Ú,Ê¹²»Æ½,Ê¹ÅîÂÒ,´ÖÖÆ,Å¹´ò,´Ö±©¶Ô´ý,²ÝÄâvi. ±ä´Ö²Úad. ´Ö²ÚµØ,´Ö±©µØ;[r8f]
routine;n. ³£Ê½,ÈÕ³£¹¤×÷,¹ßÀý,ÀýÐÐ¹«ÊÂa. ÈÕ³£µÄ,³£¹æµÄn. Àý³Ì;[ru:'ti:n]
rubbish;n. ·ÏÎï,À¬»ø,ºúËµ;['r8bi5]
rudimentary;"adj. 1 »ù±¾µÄ; ³õ²½µÄ2[ÉúÎï]Î´·¢´ïµÄ; ÔçÆÚµÄ,ÐÎ³ÉÆÚµÄ; ·¢Óý²»È«µÄ,ÓÐºÛ¼£µÄ";['ru:di'ment4ri]
rugged;a. ¸ßµÍ²»Æ½µÄ,Æéá«µÄ,´Ö²ÚµÄ;['r8gid]
rumble;n. Â¡Â¡Éù,ê¤ê¤Éùvi. ·¢Â¡Â¡Éù,ê¤ê¤Ïìvt. Ê¹Â¡Â¡Ïì,µÍ³ÁµØËµ;['r8mbl]
ruminate;vt.vi. ·´Û»,³ÁË¼;['r:mineit]
rupture;n. ÆÆÁÑ,¶ÏÁÑ,µÐ¶Ô,¾öÁÑ,ÁÑ¿ªvt.vi. (Ê¹)ÆÆÁÑ;['r8pt54]
rust;n. Ðâ,ÉúÐâ,Ë¥ÍËvi. ÉúÐâ,Ë¥ÍËvt. Ê¹ÉúÐâ,¸¯Ê´;[r8st]
rustic;n. ÏçÏÂÈË,´å·ò,Å©Ãña. Ïç´åµÄ,´¾ÆÓµÄ,ÊÖ¹¤´Ö²ÚµÄ;['r8stik]
ruthless;a. ÎÞÇéµÄ,²ÐÈÌµÄ,ºÁ²»ÁôÇéµÄ;['ru:7lis]
sacred;a. ÉñÊ¥µÄ,ÉÏµÛµÄ,×¯ÑÏµÄ,¼ÀìëµÄ;['seikrid]
saddle;n. °°,Âí°°,³µ×ù,ÍÏ¾ßvt. ×°ÒÔÂí°°,Ê¹¸ºµ£vi. ¿çÉÏÂí°°;['s1dl]
sake;n. Ôµ¹Ê,ÀíÓÉ;[seik]
salvage;n. º£ÉÏ¾ÈÖú,ÇÀ¾È,´òÀÌvt. º£ÉÏ¾ÈÖú,ÇÀ¾È,´òÀÌ,Óª¾È;['s1lvid9]
sample;n. ÑùÆ·,±ê±¾vt. ³éÈ¡ÑùÆ·,³¢ÊÔn. Ê¾Àý,×ÖÑù;['sa:mpl]
sanity;n. ÉñÖÇ½¡È«,Í·ÄÔÇå³þ,½¡È«;['s1n4ti]
sarcasm;n. ÍÚ¿à,·í´Ì;['sa:k1z4m]
sarcastic;a. ·í´ÌµÄ,¼¥·íµÄ,ÐÁÀ±µÄ;[sa:'k1stik]
sardonic;a. ³°Ð¦µÄ,ÀäÐ¦µÄ,¼¥·íµÄ;[sa:'d3nik]
satiate;vt. Ê¹±¥×ã,Ê¹ÑáÄå,Ê¹³ä·ÖÂú×ãa. ±¥×ãµÄ,³Ô±¥µÄ;['sei5ieit]
satire;n. ·í´ÌÎÄÑ§,·í´Ì;['s1tai4]
satisfactory;a. ÂúÒâµÄ,Êê×ïµÄ;['s1tis'f1kt4ri]
saturate;vt. Ê¹ÉøÍ¸,½þÍ¸,Ê¹³äÂú,Ê¹±¥ºÍa. ½þÍ¸µÄ,±¥¶È¸ßµÄ,ÉîÑÕÉ«µÄ;['s1t54reit]
save;n. ¾ÈÇòvt. ½â¾È,¾È,Íì¾È,´¢Ðî,±£´æ,±£Áô,±£È«,½ÚÊ¡vi. Íì¾È,½ÚÊ¡,¾ÈÇòprep. ³ý...Ö®Íâv. ±£´æ;[seiv]
savings;n. ´¢½ð;['seivi_z]
savor;"n. 1 Î¶,ÏãÎ¶;·çÎ¶2  ÇéÈ¤,È¤Î¶,ÐËÈ¤,´Ì¼¤ 3 vt.  (ÂýÂýµØ) Æ·³¢";['seiv4]
scale;n. ¿Ì¶È,ºâÁ¿,±ÈÀý,±ÈÀý³ß,ÊýÖµ·¶Î§,µÈ¼¶,¹æÄ£,ÌìÆ½,³ÓÅÌ,³Ó,ÁÛ,Ë®?vt.ÒÀ±ÈÀý¾ö¶¨,ÅÊµÇ,²âÁ¿,»æÖÆ,¹ÎÁÛ,¹ý³Ó,Ê¹Éú¹¸,Ê¹ÉúÁÛvi. °þÂä,ÉúË®¹¸,ºâÁ¿,ÅÊµÇn. ¿Ì¶È;[skeil]
scan;n. ÉóÊÓ,ä¯ÀÀ,Ï¸²é,ÑºÔÏ,É¨Ãèvt. Ï¸¿´,ä¯ÀÀ,·ÖÎöÔÏÂÉ,ÏêÏ¸µ÷²é,É¨Ãèvi. ÑºÔÏ,É¨Ãè;[sk1n]
scandal;n. ³óÎÅ,ÖÐÉË,Á÷ÑÔòãÓï,·´¸Ð,³ÜÈè;['sk1ndl]
scanty;a. È±·¦µÄ,½öÓÐµÄ,½ÚÊ¡µÄ,ÏÁÐ¡µÄ,²»¹»µÄ;['sk1nti]
scarce;a. ÄÑµÃµÄ,_±µ?È±·¦µÄ;[skA4s]
scare;n. ¾ªÏÅ,¿Ö»Åvt. ¾ªÏÅ,Ê¹¿Ö»Åvi. ÊÜ¾ª;[skA4]
scatter;n. ÏûÉ¢,·ÖÉ¢,É¢²¥,¾Æ¹Ý,É¢²¼,É¢Éävi. É¢²¼,É¢²¥,ÏûÉ¢vt. Ê¹ÏûÉ¢,Ê¹·ÖÉ¢,Èö,É¢Éä,É¢²¥;['sk1t4]
scenery;n. ·ç¾°,¾°É«,ÎèÌ¨²¼¾°;['si:n4ri]
schedule;n. Ê±¼ä±í,Ò»ÀÀ±í,¼Æ»®±í,ÒéÊÂÈÕ³Ìvt. Ô¤¶¨,±àÖÆÄ¿Â¼,ÖÆ...±í,°²ÅÅ;['5edju:l]
scholarship;n. Ñ§ÎÊ,Ñ§Êõ³É¾Í,½±Ñ§½ð;['sk3l45ip]
scoop;n. ²ù×Ó,É××Ó,¶À¼ÒÐÂÎÅ,¿Ú,Ñ¨vt. ¼³È¡,Ò¨È¡,ÍÚ¿Õ,ÇÀÏÈµÇ³ö;[sku:p]
scope;n. ·¶Î§,»ú»á,¹ã¶È,µ¼µ¯Éä³Ì,¹Û²ìÒÇÆ÷,ÑÛ½ç;[sk4up]
scorch;n. ÉÕ½¹,¿Ý»Ævt.vi. ÉÕ½¹,¿½½¹,(Ê¹)¿ÝÎ®,·í´Ì;[sk3:t5]
scornful;a. ÇáÃïµÄ;['sk3:nful]
scout;n. ÊØºò,Õì²ì,Õì²ì»ú,Õì²ìÔ±,ËÑË÷vi. ÊØºò,Õì²ì,Ñ²ÊÓ,³°Ð¦vt. Õì²ì,¸ú×Ù,³°Åª,¼àÊÓ;[skaut]
scrap;n.ËéÆ¬,²ÐÓàÎï,Ð©Î¢,³³¼Ü,ÌúÐ¼,Æ¬¶Ïvt. ÈÓÆú,ÇÃËé,²ð»Ùvi. »¥ÏàÅ¹´òa. ÁãËéµÄ,·ÏÆúµÄ;[skr1p]
scratch;n. ×¥ºÛ,É¦,×¥,²ÁÉË,¹Î²ÁÉù,ÂÒÐ´,Î´ÖÐµÄÒ»»÷,ÆðÅÜÏß,Áãvt. É¦,×¥,ÍÚ³ö,²Á,¹´Ä¨µô,ÂÒÍ¿,¹Îvi. É¦,×¥,·¢¹Î²ÁÉù,ÃãÇ¿ºý¿Úa. ÅöÇÉµÄ,´ÕºÏµÄ,´ò²Ý¸åÓÃµÄ;[skr1t5]
screen;n. ÆÁ,Ä»,ÒøÄ»,ÆÁ·ç,É¸×Ó,ÆÁ±Î,ÑÚ±ÎÎïvt. ÑÚ±Î,·ÅÓ³,ÅÄÉã,Õç±ð,É¸,ÑÚ»¤vi. ÅÄµçÓ°;[skri:n]
scruple;n. ³ì³ù,ÓÌÔ¥,Î¢Á¿vi. ³ì³ù,ÓÐ¹Ë¼É;['skru:pl]
scrupulous;a. Ð¡ÐÄ½÷É÷µÄ,Ï¸ÐÄµÄ;['skru:pjul4s]
scrutinize;vt. 1 Ï¸²ì,ÏêÉó2 ×ÐÏ¸´òÁ¿,¶ËÏê;['skru:tinaiz]
sculpture;n. µñ¿Ì,µñËÜvt. µñ¿Ì,µñËÜvi. µ±µñ¿ÌÊ¦;['sk8lpt54]
sear;a. ¿ÝÎ®µÄ,¿¾½¹µÄvt. ¿¾½¹,Ê¹¿ÝÎ®vi. µòÐ»,¸É¿Ý;[si4]
seasoning;n. 1 a. (U) µ÷Î¶b. (C) µ÷Î¶Æ·,×ôÁÏ,ÏãÀ±µ÷Î¶ÁÏ2 (C) ÔöÌíÈ¤Î¶µÄ¶«Î÷3 (U) (Ä¾²ÄµÈµÄ) ¸ÉÔï;['si:z_ni_]
seclusion;n. ¸ôÀë,¹ÂÁ¢,ÒþÍË;[si'klu94n]
secrete;vt. ÒþÃØ,Òþ²Ø,ÒþÄä,·ÖÃÚ;[si'kri:t]
secretion;n. ·ÖÃÚ,·ÖÃÚÎï,·ÖÃÚÒº;[si'kri54n]
sedate;a. ³Á×ÅµÄ,Õò¾²µÄ,°²¾²µÄvt. ¸ø...·þÕò¾²¼Á;[si'deit]
sediment;n. ³ÁµíÎï,³Á»ý;['sedim4nt]
seemingly;adv. 1 ±íÃæÉÏ,Íâ±íÉÏ2 [ÐÞÊÎÕû¾ä]¿´ÆðÀ´ (ÏÔÈ»);['si:mi_li]
segment;n. Æ¬¶Î,²¿·Ö,·Ö½Úvt.vi. ·Ö¸î,·ÖÁÑn. ¶Î;['segm4nt]
segregate;a. ·ÖÀëµÄ,±»¸ôÀëµÄvi. ·ÖÀë,¸ôÀë,·ÖÄývt. Ê¹·ÖÀë,Ê¹¸ôÀë;['segrigeit]
seize;vt. ×¥×¡,´þ²¶,·ý»ñ,ÕÆÎÕ,¿ÛÑºvi. Í»È»×¥×¡,ÀûÓÃ;[si:z]
selection;n. Ñ¡Ôñ,Ñ¡ÎÄ,Ñ¡Æ·;[si'lek54n]
selfish;a. ×ÔË½µÄ,Àû¼ºÖ÷ÒåµÄ,×ÔÎÒÖÐÐÄµÄ;['selfi5]
semester;n. Ñ§ÆÚ;[s4'mest4]
sensible;a. ÓÐ¸Ð¾õµÄ,ÓÐÅÐ¶ÏÁ¦µÄ,Ã÷ÖÇµÄ;['sens4bl]
sensitive;a. Ãô¸ÐµÄ,Ò×¸ÐµÄ,ÁéÃôµÄ,¸Ð¹âµÄ;['sensitiv]
sensuous;a. ¸Ð¾õÉÏµÄ,¸øÈËÃÀ¸ÐµÄ;['sAn5u4s]
sentimental;a. ¸ÐÉËÐÔµÄ,¸ÐÇé´àÈõµÄ;['senti'mentl]
sequence;n. ÐòÁÐ,¼ÌÆðµÄÊÂ,´ÎÐò,Á¬Ðø,Ë³Ðòvt. °´Ë³ÐòÅÅºÃn. Ë³Ðò;['si:kw4ns]
serene;a. Äþ¾²µÄ,³Á×ÅµÄ,°²ÏêµÄ,ÇçÀÊµÄn. ÇçÀÊ,Æ½¾²;[si'ri:n]
serenity;n. Äþ¾²,³Á×Å,ÇçÀÊ;[si'reniti]
serious;a. ÑÏËàµÄ,ÈÏÕæµÄ,ÖØÒªµÄ,ÑÏÖØµÄ;['si4ri4s]
sermon;n. Ëµ½Ì,Ñµ½ë,²¼µÀ;['s4:m4n]
session;n. ÆÚ¼ä,¿ªÍ¥ÆÚ,»áÒé,Ñ§ÆÚ;['se54n]
sever;vt. ÇÐ¶Ï,ÍÑÀë,·Ö¿ª,ÖÐ¶Ï,¶Ï¾ø,Ê¹·ÖÀëvi. ¶Ï,ÁÑ¿ª,±»·Ö¿ª;['sev4]
severe;a. ÑÏ¸ñµÄ,Ð×ÃÍµÄ,ÑÏËàµÄ,ÆÓËØµÄ,ÑÏÀ÷µÄ,ÑÏÖØµÄ;[si'vi4]
shabby;a. ÒÂÉÀñÜñÚµÄ,²»ÌåÃæµÄ,±°±ÉµÄ,ÁßØÄµÄ,ÆÆ¾ÉµÄ;['51bi]
shackle;n. èäèô,Êø¸¿Îïvt. ¼Óèäèô,¼Ó¼ÏËø,Êø¸¿;['51kl]
shade;n. Òñ,Òõ°µ,ÒñÁ¹´¦,ÕÚ¹âÎï,µÆÕÖ,Ð©Î¢,Å¨µ­,Á±vi. ½¥±ävt. Ê¹Òõ°µ,Ê¹½¥±ä,ÕÚ±Î,Î¢¼õn. µ×ÎÆ;[5eid]
shaft;n.Öá,¼ý¸Ë,Ã¬,¸Ë×´Îïvt. ×°¸ËÓÚ,ÀûÓÃ;[5a:ft]
shake;n. Ò¡¶¯,Õð¶¯vt. Ò¡¶¯,¶¯Ò¡,Ê¹Õð¶¯,»ÓÎèvi. Õð¶¯,·¢¶¶,¶¯Ò¡;[5eik]
sallow;a. »ÒÉ«µÄ,²Ô°×µÄ,ÆøÉ«²»ºÃµÄvt.vi. (Ê¹)³É²ËÉ«n. ÁøÊôÖ²Îï,ÁøÖ¦;['s1lou]
shameless;a. ²»ÖªÐß³ÜµÄ;['5emlis]
sharpen;vt. Ê¹¼âÈñ,Ê¹Ãô½Ý,¼ÓÖØ,Ê¹¾çÁÒvi. ¼âÈñ»¯,±ä·æÀû;['5a:p4n]
shatter;n. ËéÆ¬,·ÛËé,ÂäÒ¶,ÂÒÆß°ËÔãµÄ×´Ì¬vt. ´òËé,Ê¹É¢¿ª,·ÛËé,ÆÆ»µvi. ·ÛËé,Ëð»µ,ÂäÒ¶;['51t4]
shear;n. ÐÞ¼ô,¼ôÏÂµÄ¶«Î÷,ÑòµÄÒ»Ëê,´ó¼ôµ¶,ÇÐ,¼ô,ÇÐ±ävt. ÐÞ¼ô,¸î,¿³,ÇÐ,°þ¶ávi. ¼ô,ÐÞ¼ô,¼ôÑòÃ«,ÇÐ¶Ï;[5i4]
sheathe;vt. ²åÈëÇÊ,¸²¸Ç;[5i0]
sheer;a. ¾ø¶ÔµÄ,È«È»µÄ,³¹µ×µÄ,¾þÇÍµÄ,Í¸Ã÷µÄ,´¿´âµÄvi. ¶ã¿ª,¶ã±Ü,Æ«º½,vt. Ê¹±Ü¿ª,Ê¹Æ«º½ad. ÍêÈ«,È«È»,¾þÇÍn. Æ«º½;[5i4]
shield;n. ¶Ü,·ÀÎÀÎïvt. ±£»¤,ÕÚ±Î,±Ü¿ª,µ²¿ª,±Ó»¤vi. Æð±£»¤×÷ÓÃ;[5i:ld]
shipment;n. ×°´¬,³ö»õ;['5ipm4nt]
shove;n. ÍÆ,¼·vt. ÍÆ¼·,ÃÍÍÆ,Ç¿Ê¹vi. ÍÆ;[58v]
shrewd;a. ¾«Ã÷µÄ,ÈñÀûµÄ,À÷º¦µÄ,»úÁéµÄ,¾çÁÒµÄ;[5ru:d]
